Time Elapsed (s),Lat (deg),Lon (deg),Geoaltitude (m),Impact pressure (Pa),Meas. Static Temp (K)
64,50.051,8.611,454,4520.97,277.479
68,50.052,8.616,468,4799.78,277.2534
72,50.053,8.62,476,5017.91,277.2752
76,50.053,8.6248,487,5254.48,277.084
80,50.055,8.6298,497,5619.15,276.7935
84,50.056,8.6349,509,5850.77,276.9011
88,50.057,8.6402,522,6169.47,276.645
92,50.058,8.6456,539,6363.37,276.484
96,50.059,8.6512,560,6668.97,276.5274
100,50.06,8.6559,576,6871.35,276.36
104,50.062,8.6615,590,7202.98,276.0932
108,50.063,8.6675,606,7549.97,276.0091
112,50.064,8.6734,631,7829.63,275.7748
116,50.065,8.6792,663,7945.13,275.6616
120,50.067,8.6849,706,7910.26,275.4616
124,50.068,8.6912,746,8026.92,275.0475
128,50.069,8.6976,788,8222.23,274.8628
132,50.07,8.7031,829,8256.17,274.8046
136,50.071,8.7091,878,8222.75,274.3046
140,50.071,8.7161,919,8336.59,273.9874
144,50.071,8.7225,955,8539.43,273.7978
148,50.071,8.7293,988,8808.97,273.5572
152,50.07,8.7362,1015,9026.88,273.3618
156,50.069,8.7429,1035,9318.41,273.1141
160,50.069,8.7492,1052,9458.05,272.9887
164,50.068,8.7561,1074,9770.27,272.7222
168,50.067,8.7637,1100,10248.58,272.3207
172,50.066,8.7716,1131,10389.44,271.8892
176,50.065,8.7784,1172,10421.45,271.823
180,50.065,8.7861,1224,10375.4,271.323
184,50.064,8.7928,1270,10408.55,271.0566
188,50.063,8.8002,1321,10539.96,270.6097
192,50.062,8.8078,1373,10409.75,270.1766
196,50.061,8.8155,1428,10570.02,270.4751
200,50.06,8.8225,1481,10648.24,270.8394
204,50.059,8.8303,1535,10585.86,270.6394
208,50.058,8.8382,1590,10622.67,269.9712
212,50.058,8.8447,1637,10661.03,269.8891
216,50.058,8.8524,1695,10411.84,269.8394
220,50.058,8.8598,1755,10597.85,269.6204
224,50.058,8.8673,1808,10528.68,269.6204
228,50.058,8.8751,1865,10454.7,269.6204
232,50.058,8.8826,1923,10222.32,269.2712
236,50.058,8.8905,1978,10248.99,269.1891
240,50.058,8.8976,2031,10193.4,268.8891
244,50.058,8.9042,2071,10158.48,268.4891
248,50.059,8.9121,2117,10112.54,268.1891
252,50.059,8.9199,2156,10301.62,267.9822
256,50.059,8.9278,2192,10415.56,267.843
260,50.059,8.935,2234,10619,267.6182
264,50.059,8.943,2281,10380.12,267.773
268,50.059,8.9508,2331,10423.19,267.3887
272,50.059,8.9578,2368,10454.63,267.3182
276,50.059,8.9659,2410,10407.78,267.1182
280,50.059,8.9739,2453,10360.28,266.9182
284,50.06,8.9813,2498,10459.71,266.7764
288,50.06,8.9894,2541,10634.23,266.7618
292,50.06,8.9978,2586,10678.43,266.4754
296,50.06,9.0048,2628,10634.64,266.1754
300,50.06,9.0129,2680,10737.21,265.7305
